"Date","Price","Open","High","Low","Vol.","Change %"
"11/17/2024","2,668.90","2,567.75","2,676.15","2,567.70","579.55K","3.84%"
"11/10/2024","2,570.10","2,692.10","2,693.40","2,541.50","1.27M","-4.63%"
"11/03/2024","2,694.80","2,743.50","2,759.50","2,650.30","1.18M","-1.98%"
"10/27/2024","2,749.20","2,739.40","2,801.80","2,725.80","616.20K","0.26%"
"10/20/2024","2,742.20","2,724.30","2,758.50","2,709.90","2.08K","0.45%"
"10/13/2024","2,730.00","2,673.10","2,737.80","2,654.40","801.58K","2.01%"
"10/06/2024","2,676.30","2,671.70","2,679.20","2,618.80","871.73K","0.32%"
"09/29/2024","2,667.80","2,680.50","2,694.70","2,646.20","835.90K","-0.01%"
"09/22/2024","2,668.10","2,646.20","2,708.70","2,638.60","991.37K","1.27%"
"09/15/2024","2,634.60","2,598.00","2,639.10","2,563.50","1.35K","1.37%"
"09/08/2024","2,599.10","2,515.00","2,601.30","2,507.60","1.03K","3.42%"
"09/01/2024","2,513.20","2,513.80","2,541.70","2,495.70","0.31K","-0.57%"
"08/25/2024","2,527.60","2,545.10","2,564.30","2,526.60","774.44K","-0.73%"
"08/18/2024","2,546.30","2,549.70","2,570.40","2,506.40","838.07K","0.33%"
"08/11/2024","2,537.80","2,470.10","2,548.30","2,462.70","906.92K","2.60%"
"08/04/2024","2,473.40","2,490.30","2,500.80","2,403.80","1.04M","0.15%"
"07/28/2024","2,469.80","2,410.10","2,522.50","2,391.60","905.12K","2.72%"
"07/21/2024","2,404.50","2,427.50","2,456.70","2,375.10","76.94K","-0.76%"
"07/14/2024","2,423.00","2,444.20","2,512.80","2,419.60","53.77K","-0.88%"
"07/07/2024","2,444.50","2,419.00","2,453.80","2,380.00","40.63K","0.97%"
"06/30/2024","2,421.10","2,356.30","2,424.80","2,350.80","19.51K","2.48%"
"06/23/2024","2,362.50","2,354.50","2,373.10","2,327.50","13.19K","0.37%"
"06/16/2024","2,353.90","2,369.20","2,403.50","2,345.00","6.77K","-0.76%"
"06/09/2024","2,371.90","2,330.00","2,381.10","2,327.20","8.22K","1.04%"
"06/02/2024","2,347.60","2,370.00","2,429.20","2,326.90","13.79K","-0.88%"
"05/26/2024","2,368.50","2,359.80","2,404.00","2,356.60","306.84K","0.49%"
"05/19/2024","2,356.90","2,445.70","2,477.00","2,348.70","253.10K","-3.42%"
"05/12/2024","2,440.40","2,392.10","2,450.10","2,360.40","172.90K","1.78%"
"05/05/2024","2,397.70","2,335.10","2,407.60","2,322.70","289.92K","2.88%"
"04/28/2024","2,330.60","2,369.70","2,380.70","2,308.70","89.23K","-1.63%"
"04/21/2024","2,369.30","2,425.40","2,425.40","2,326.00","46.78K","-2.74%"
"04/14/2024","2,436.10","2,392.10","2,455.50","2,362.30","36.42K","1.66%"
"04/07/2024","2,396.30","2,370.10","2,471.30","2,343.00","69.83K","1.25%"
"03/31/2024","2,366.60","2,280.10","2,370.90","2,269.60","37.10K","4.79%"
"03/24/2024","2,258.40","2,188.50","2,276.80","2,186.10","356.98K","3.52%"
"03/17/2024","2,181.60","2,181.40","2,246.60","2,170.80","363.89K","-0.07%"
